id,true,sigma,measured,lambda_result,delta,delta_sigma,relative_error_pct,gross_error
P1,22.00000000,0.05500000,22.45675944,22.45254764,-0.00421180,-0.07657821,2.05703472,0.44000000
P2,0.80000000,0.01000000,0.78960016,0.78946093,-0.00013923,-0.01392331,1.31738427,0.00000000
P3,21.50000000,0.04816000,21.53614173,21.44876066,-0.08738107,-1.81439097,0.23832251,0.00000000
P4,0.50000000,0.25000000,0.73514118,0.82216187,0.08702069,0.34808278,64.43237470,0.00000000
P5,1.20000000,0.01000000,1.18048965,1.18425707,0.00376742,0.37674231,1.31191074,0.00000000
P6,2.00000000,0.01500000,2.08546731,2.08578058,0.00031327,0.02088497,4.28902909,0.10500000
P7,3.00000000,1.50000000,3.19176060,3.19176060,0.00000000,0.00000000,6.39202016,0.00000000
Q1,15.00000000,0.03360000,14.72057425,14.73739403,0.01681978,0.50058877,1.75070646,-0.26880000
Q2,5.00000000,0.01120000,4.99981183,4.99678018,-0.00303164,-0.27068257,0.06439636,0.00000000
Q3,19.00000000,0.04256000,18.62319445,18.66697140,0.04377695,1.02859378,1.75278210,-0.34050000
Q4,1.00000000,0.01000000,1.00879398,1.01121079,0.00241681,0.24168087,1.12107884,0.00000000
Q5,2.00000000,1.00000000,2.77779194,2.77779194,0.00000000,0.00000000,38.88959677,0.00000000
R1,0.80000000,0.01000000,0.90066031,0.90456696,0.00390666,0.39066562,13.07087039,0.10000000
R2,4.50000000,0.01008000,4.51136259,4.51533200,0.00396941,0.39379094,0.34071120,0.00000000
